text,topic,question,context1,context2,question2,topic2
"The half-life of a radioactive element is the time it takes before half of the atoms in a sample of the element have decayed. If you know how many atoms you have in a sample, and you measure how many of them decay per second, it is easy to figure out how long you would have to wait before half of all the atoms have decayed. You do not have to measure until half the atoms actually have decayed, but the tradition is that we use the half-life as a measure of how quickly a radioactive element decays. Snow forms when water vapor in the air turns directly into ice because it's so cold. The ice crystals grow from additional water vapor until they fall down as snow. Hail, on the other hand, is created when existing liquid rain is carried into colder areas by updrafts and freezes into a ball of ice. Because the water in many clouds is supercooled (brought past the freezing point but still in liquid form), it is easily frozen and the hail gradually grows. This continues until the hailstone becomes too heavy to stay in the clouds and falls. ",Half-life,What is the technique that actually establishes the half-life time duration?,"The half-life of a radioactive element is the time it takes before half of the atoms in a sample of the element have decayed. If you know how many atoms you have in a sample, and you measure how many of them decay per second, it is easy to figure out how long you would have to wait before half of all the atoms have decayed. You do not have to measure until half the atoms actually have decayed, but the tradition is that we use the half-life as a measure of how quickly a radioactive element decays.","Snow forms when water vapor in the air turns directly into ice because it's so cold. The ice crystals grow from additional water vapor until they fall down as snow. Hail, on the other hand, is created when existing liquid rain is carried into colder areas by updrafts and freezes into a ball of ice. Because the water in many clouds is supercooled (brought past the freezing point but still in liquid form), it is easily frozen and the hail gradually grows. This continues until the hailstone becomes too heavy to stay in the clouds and falls. ",What is the difference in the formation of snow and hailstones?,Hail
"Most chiral molecules have chiral centers, but there are some exceptions. The best known are members of a class of compounds known as allenes, which have two double bonds in a row. So some compounds can have enantiomers without having a chiral center. It happens due to hydrolysis. The alpha subunit releases GDP, takes in GTP then leaves the beta and gamma subunits. the ligand binding to the receptor changes the conformation of the G Protein which makes it have a lower affinity of binding to GDP and increases the affinity for GTP which is why it drops the GDP and picks up the GTP.",Chirality (chemistry),If a molecule is a enantiomer is it necessary that its a chiral molecule?,"Most chiral molecules have chiral centers, but there are some exceptions. The best known are members of a class of compounds known as allenes, which have two double bonds in a row. So some compounds can have enantiomers without having a chiral center.","It happens due to hydrolysis. The alpha subunit releases GDP, takes in GTP then leaves the beta and gamma subunits. the ligand binding to the receptor changes the conformation of the G Protein which makes it have a lower affinity of binding to GDP and increases the affinity for GTP which is why it drops the GDP and picks up the GTP.",Is it actually exchanged for GTP?,Guanosine triphosphate
"One possible way geothermal energy can be used is, certain forms of algae and other aquatic microbes live associated with geothermal springs. These algae use a method called _chemosynthesis_ with geothermal energy used primarily as an energy source There are billions and billions of Na atoms and NH3 molecules in the reaction mixture. The Na and ammonia are always in excess. The alkyne is the limiting reactant.",Geothermal energy,What would geothermal energy be used for as an energy source?,"One possible way geothermal energy can be used is, certain forms of algae and other aquatic microbes live associated with geothermal springs. These algae use a method called _chemosynthesis_ with geothermal energy used primarily as an energy source",There are billions and billions of Na atoms and NH3 molecules in the reaction mixture. The Na and ammonia are always in excess. The alkyne is the limiting reactant.,How do you know there are plenty left over after using Na with one electron already in the first step when it started off the reaction?,Sodium
"At the scale of the individual molecule having a positive charge at one end and a negative charge at the other end of a molecule is very different from having no charges at all. The isoelectric point is the pH at which a molecule has a net neutral charge  while this is related to zwitterions, they are not the same thing! Zwitterions are neutral molecules that have at least one group carrying a full positive charge and another carrying a full negative charge. How charged those groups are depends on the pH 1. Find the longest chain. 2. Number its carbon atoms in the both possible ways. 3. Identify all the branches. 4. From (2.) choose the way in which the first branch matches the lowest possible number. 5. Write the name of the molecule remembering that the branches should be writen in the alphabetical order regardless of the order the appear on the chain. ",PH,How does the pH level really affect the ion's ability to become more positive or more negative?,"At the scale of the individual molecule having a positive charge at one end and a negative charge at the other end of a molecule is very different from having no charges at all. The isoelectric point is the pH at which a molecule has a net neutral charge  while this is related to zwitterions, they are not the same thing! Zwitterions are neutral molecules that have at least one group carrying a full positive charge and another carrying a full negative charge. How charged those groups are depends on the pH",1. Find the longest chain. 2. Number its carbon atoms in the both possible ways. 3. Identify all the branches. 4. From (2.) choose the way in which the first branch matches the lowest possible number. 5. Write the name of the molecule remembering that the branches should be writen in the alphabetical order regardless of the order the appear on the chain. ,Which way to start?,NA
"Oxygen atom in ethanol DONATES its lone pair to proton, it is a Lewis Base. When ethanol successfully gets a proton, the Lewis Base turns into Conjugate Acid.  The first 2 equations each had 1 mole of O2 on their reactants side. In the overall system they combine and make a total of 2 moles of O2 on the reactant side. However, the last equation has 2 moles of O2 on its products side (mole meaning a coefficient of 2). Now the overall system has 2 O2's both in the reactants and the products side. They cancel each other out. So, the oxygens in the same side don't cancel each other out. They combine with each other and later cross out because there is an equal amount of oxygen on the opposite side as well.",NA,Does the molecule become a conjugated acid?,"Oxygen atom in ethanol DONATES its lone pair to proton, it is a Lewis Base. When ethanol successfully gets a proton, the Lewis Base turns into Conjugate Acid. ","The first 2 equations each had 1 mole of O2 on their reactants side. In the overall system they combine and make a total of 2 moles of O2 on the reactant side. However, the last equation has 2 moles of O2 on its products side (mole meaning a coefficient of 2). Now the overall system has 2 O2's both in the reactants and the products side. They cancel each other out. So, the oxygens in the same side don't cancel each other out. They combine with each other and later cross out because there is an equal amount of oxygen on the opposite side as well.",Are you allowed to cross them off if they are both on the same side?,NA
"In sulfate the sulfur atom does not have a charge of -2, elements deviate from their ideal oxidation states when bonded to more electronegative atoms like oxygen or fluorine. In this case we would say that sulfur has an oxidation state of +6 and the four oxygen atoms have oxidation states of -2 +6 + -8 = -2 (which is the overall charge of sulfate) In general the formulas and charges of polyatomic ions are something you will need to memorise. Genes are found on strands of DNA, they are not themselves a strand of DNA. A gene is a sequence of base pairs that code for a specific protein, not a specific phenotypic trait as such. The various proteins interact in very complex ways to form traits. So, genes do not, strictly speaking, code for phenotypic traits. However, a specific trait might be reliant on the protein produced by one gene for some key aspect of its nature. So, while we might often say the gene for this or that trait, what is more accurate is saying the gene for the protein is involved in this or that trait. Genes, in fact, tend to be involved in multiple phenotypic traits because the protein they code for can be used in a variety of ways. Alleles are variations of genes, but they may or may not produce observable differences in some phenotypic trait. The reason is that proteins tend to be very large molecules and so a few minor changes here or there in their structure may or may not have much of an effect on their functions. So, some alleles produce proteins that produce pretty much identical phenotypic traits. Also, remember that some amino acids can be coded for by more than one codon, so some alleles merely contain different ways of coding for the same protein. But, obviously, some alleles, even with minor changes, can produce proteins that lead to significantly different traits. Eye color is not a good example because there are many genes involved in that (perhaps as many as 16 genes)",NA,Why isn't the charge on Sulfate -10 then since its SO4?,"In sulfate the sulfur atom does not have a charge of -2, elements deviate from their ideal oxidation states when bonded to more electronegative atoms like oxygen or fluorine. In this case we would say that sulfur has an oxidation state of +6 and the four oxygen atoms have oxidation states of -2 +6 + -8 = -2 (which is the overall charge of sulfate) In general the formulas and charges of polyatomic ions are something you will need to memorise.","Genes are found on strands of DNA, they are not themselves a strand of DNA. A gene is a sequence of base pairs that code for a specific protein, not a specific phenotypic trait as such. The various proteins interact in very complex ways to form traits. So, genes do not, strictly speaking, code for phenotypic traits. However, a specific trait might be reliant on the protein produced by one gene for some key aspect of its nature. So, while we might often say the gene for this or that trait, what is more accurate is saying the gene for the protein is involved in this or that trait. Genes, in fact, tend to be involved in multiple phenotypic traits because the protein they code for can be used in a variety of ways. Alleles are variations of genes, but they may or may not produce observable differences in some phenotypic trait. The reason is that proteins tend to be very large molecules and so a few minor changes here or there in their structure may or may not have much of an effect on their functions. So, some alleles produce proteins that produce pretty much identical phenotypic traits. Also, remember that some amino acids can be coded for by more than one codon, so some alleles merely contain different ways of coding for the same protein. But, obviously, some alleles, even with minor changes, can produce proteins that lead to significantly different traits. Eye color is not a good example because there are many genes involved in that (perhaps as many as 16 genes)",Are alleles just variations of a gene that code for the same trait but with physical differences?,Gene
"The germ cells are the simply the cells whose role it is to produce the sex cells. They are differentiated from somatic cells in the early embryo but they need to migrate and expand via mitosis before some of them form the sex cells.  The states of matter depend on two things, pressure, and temperature. If the temperate increases than the general energy increases and the molecules break away from each other thus causing the element to change to a higher state of matter, such as from liquid to gas. But the same is true with pressure except in a different way. If the pressure exerted on water is increased the molecules are squished together and it changes to a solid, but if the pressure is decreased the molecules are ""pulled apart"" and the state changes to a gas without the temperature having to change at all.",Mitosis,How the germ cell can go through mitosis?,The germ cells are the simply the cells whose role it is to produce the sex cells. They are differentiated from somatic cells in the early embryo but they need to migrate and expand via mitosis before some of them form the sex cells. ,"The states of matter depend on two things, pressure, and temperature. If the temperate increases than the general energy increases and the molecules break away from each other thus causing the element to change to a higher state of matter, such as from liquid to gas. But the same is true with pressure except in a different way. If the pressure exerted on water is increased the molecules are squished together and it changes to a solid, but if the pressure is decreased the molecules are ""pulled apart"" and the state changes to a gas without the temperature having to change at all.",How is water supposed to evaporate at 25 degrees Celsius?,Temperature
"Water is very common in the universe. At this time, we do not know how common liquid water might be in the universe but it is more likely that we would find it in either the solid or vapor form. This situation is nothing special about water, because the liquid phase of any chemical requires just the right ranges of both pressure and temperature. So, the liquid phase of mater is not all that common, relatively speaking. Just think about it, apart from liquid water, how many other naturally-occurring liquids do you encounter in your daily life? However, water does have a fairly wide range of temperatures and pressures it can be a liquid in, so it does have a better chance of being a liquid than many other substances. Hydrogen itself exists as a liquid in only the most extreme conditions, so it is extremely rare. Solid hydrogen is even more rare. Pure hydrogen mostly exists as a plasma in stars or elsewhere as a gas. Gel electrophoresis uses a constant voltage to make the DNA segments move because DNA has a negative charge so it moves towards the anode at different rates. The smaller segments move faster. Then, scientist stops the voltage once the segments moved far enough to distinguish them. using the DNA ladder they can find the size of the molecule. molecular-weight size marker, also referred to as a protein ladder, DNA ladder, or RNA ladder, is a set of standards that are used to identify the approximate size of a molecule run on a gel during electrophoresis.",Universe,How common is water in the universe?,"Water is very common in the universe. At this time, we do not know how common liquid water might be in the universe but it is more likely that we would find it in either the solid or vapor form. This situation is nothing special about water, because the liquid phase of any chemical requires just the right ranges of both pressure and temperature. So, the liquid phase of mater is not all that common, relatively speaking. Just think about it, apart from liquid water, how many other naturally-occurring liquids do you encounter in your daily life? However, water does have a fairly wide range of temperatures and pressures it can be a liquid in, so it does have a better chance of being a liquid than many other substances. Hydrogen itself exists as a liquid in only the most extreme conditions, so it is extremely rare. Solid hydrogen is even more rare. Pure hydrogen mostly exists as a plasma in stars or elsewhere as a gas.","Gel electrophoresis uses a constant voltage to make the DNA segments move because DNA has a negative charge so it moves towards the anode at different rates. The smaller segments move faster. Then, scientist stops the voltage once the segments moved far enough to distinguish them. using the DNA ladder they can find the size of the molecule. molecular-weight size marker, also referred to as a protein ladder, DNA ladder, or RNA ladder, is a set of standards that are used to identify the approximate size of a molecule run on a gel during electrophoresis.",How the exact length of DNA molecules can be determined when it is moving?,DNA
"this is where the equation E=mc^2 comes in handy. Basically, an electron and a positron (both have masses) can come together and produce 2 gamma rays, which have no mass, and are pure electromagnetic energy. The heat is a byproduct from the mass becoming pure energy If the electrons in the C=O pi bond (from the oxygen lone pair) were pushed into the ring, that would leave oxygen with a +2 charge and an incomplete octet. ",NA,Where does the heat (kinetic energy) come from in nuclear fission?,"this is where the equation E=mc^2 comes in handy. Basically, an electron and a positron (both have masses) can come together and produce 2 gamma rays, which have no mass, and are pure electromagnetic energy. The heat is a byproduct from the mass becoming pure energy","If the electrons in the C=O pi bond (from the oxygen lone pair) were pushed into the ring, that would leave oxygen with a +2 charge and an incomplete octet. ",Why can't the lone pairs for Oxygen form pi electrons inside the Benzene ring?,Pi bond
"the tryptophan repressor is itself a protein produced from transcription of another gene, let's call it ""repressor gene"". If that gene mutated, the product of transcription of that gene (the repressor protein) could be nonfunctional. If that were the case the e.coli cell would continually transcribe Tryptophan Enzyme. What happens to a rigid object depends on the atomic and molecular forces. If these forces allow the object to undergo elastic deformation then they will deform and then go back to their original shape once the force is removed. If the forces between the atoms and molecules shift without breaking then the object undergoes plastic deformation and stays in the new shape. If the forces do not stretch or shift then the object cracks. Most objects that we conciser rigid will react to a force on them with a combination of all three responses",Repressor,What happen if the repressor stops functioning?,"the tryptophan repressor is itself a protein produced from transcription of another gene, let's call it ""repressor gene"". If that gene mutated, the product of transcription of that gene (the repressor protein) could be nonfunctional. If that were the case the e.coli cell would continually transcribe Tryptophan Enzyme.",What happens to a rigid object depends on the atomic and molecular forces. If these forces allow the object to undergo elastic deformation then they will deform and then go back to their original shape once the force is removed. If the forces between the atoms and molecules shift without breaking then the object undergoes plastic deformation and stays in the new shape. If the forces do not stretch or shift then the object cracks. Most objects that we conciser rigid will react to a force on them with a combination of all three responses,All objects are naturally elastic?,NA
"If you have the same number of electrons as protons, just like you would in any atom because all atoms have the same number of electrons as protons, then the charge is neutral The two strands don't encode the same information - they have different sequences! Within a gene *usually* only one strand is transcribed, but there are many examples where transcription happens from the both strands. This is especially common in viruses. RNA polymerase recognizes specific sequences (promoters) that direct it to bind in the appropriate place on the correct strand. I think you got a bit confused here - ribosomes translate mRNA to make protein. DNA polymerases are the enzymes that duplicate DNA molecules. ",Electron,How do you know how many electrons that the elements start with?,"If you have the same number of electrons as protons, just like you would in any atom because all atoms have the same number of electrons as protons, then the charge is neutral","The two strands don't encode the same information - they have different sequences! Within a gene *usually* only one strand is transcribed, but there are many examples where transcription happens from the both strands. This is especially common in viruses. RNA polymerase recognizes specific sequences (promoters) that direct it to bind in the appropriate place on the correct strand. I think you got a bit confused here - ribosomes translate mRNA to make protein. DNA polymerases are the enzymes that duplicate DNA molecules. ",From which strand is the mRNA synthesized?,DNA
"Resistance not only depends on length, area, and type of the conductor, it also changes with temperature for some devices. In a light bulb, because the temperature increases when it is illuminated, its resistance changes. People then have three variables and the relation between the current and the potential difference no longer gives a straight line (since its gradient, the resistance, is no longer a constant). Devices whose temperature changes affect the resistance are called non-ohmic devices. There is two type force inside atom. Repulsive force between protons and attractive force between electron and nucleus. If atom is stable than atom should overcome the repulsive force in other way talk about this more attractive force than repulsive force.",NA,How do non ohmic devices work?,"Resistance not only depends on length, area, and type of the conductor, it also changes with temperature for some devices. In a light bulb, because the temperature increases when it is illuminated, its resistance changes. People then have three variables and the relation between the current and the potential difference no longer gives a straight line (since its gradient, the resistance, is no longer a constant). Devices whose temperature changes affect the resistance are called non-ohmic devices.",There is two type force inside atom. Repulsive force between protons and attractive force between electron and nucleus. If atom is stable than atom should overcome the repulsive force in other way talk about this more attractive force than repulsive force.,Why protons become stable and exist together in the nucleus?,Proton
"that single electron has greater chance of forming a bond (pi bond) if the orbital he is in isn't hybridized. paired electrons don't have to bond so their orbital gets hybridized (it lowers the total energy of the molecule) Certain Plants do grow better around each other and help each other out. Researcher Dr. David Johnson looked closely at plants' symbiotic relationship with soil fungus, piggybacking off a 2010 study that seemed to suggest that a tomato plant infected with leaf blight would be able to warn nearby plants of the problem. In turn, those plants would activate genes that would prevent them from catching the disease, too. Johnson was able to show how plants use fungus in the soil as a network (think of it as a botanical Wi-Fi, if you will). Essentially, fungi deliver messages of danger from plant to plant, and as a result, the group can grow stronger. Even plants get by with a little help from their friends. *Animals* help plants by pollinating them, and be helping to disperse seeds. The droppings of animals also fertilize plants. Plants have three basic responses or reactions to light. They are photosynthesis, phototropism and photoperiodism. As plants react/respond to light the amount of heat wont matter anyway.",Electron,Why lone pairs of electrons have their own hybridized orbitals?,that single electron has greater chance of forming a bond (pi bond) if the orbital he is in isn't hybridized. paired electrons don't have to bond so their orbital gets hybridized (it lowers the total energy of the molecule),"Certain Plants do grow better around each other and help each other out. Researcher Dr. David Johnson looked closely at plants' symbiotic relationship with soil fungus, piggybacking off a 2010 study that seemed to suggest that a tomato plant infected with leaf blight would be able to warn nearby plants of the problem. In turn, those plants would activate genes that would prevent them from catching the disease, too. Johnson was able to show how plants use fungus in the soil as a network (think of it as a botanical Wi-Fi, if you will). Essentially, fungi deliver messages of danger from plant to plant, and as a result, the group can grow stronger. Even plants get by with a little help from their friends. *Animals* help plants by pollinating them, and be helping to disperse seeds. The droppings of animals also fertilize plants. Plants have three basic responses or reactions to light. They are photosynthesis, phototropism and photoperiodism. As plants react/respond to light the amount of heat wont matter anyway.",How plants respond to nature?,Plant
"Increase in frequency = increase in energy and this is related to the kinetic energy (and thefore speed) of the electron. But current is not related to speed of electron. Current is related to the number of electron flowing past a point per second. So its actually possible to be in a situation in which the energy of the photons will increase but for the current to decrease. cell organelles (even though membrane-bound) do not repel each other when close to the cell membrane. First of all, the different charge is on the cytoplasmic side of the cell membrane than on the outer side. Inside of cell is a certain charge which is okay for cell organelles. While on the outside is a different charge. This is what helps exocytosis. there are carbohydrates which are positively charged on the surface and modify charge. The reason why endocytosis and exocytosis is possible - is exactly the chemical charge and chemical constituents of the membrane (surrounding vesicles).",Frequency,Why does the current not increase with increasing frequency?,Increase in frequency = increase in energy and this is related to the kinetic energy (and thefore speed) of the electron. But current is not related to speed of electron. Current is related to the number of electron flowing past a point per second. So its actually possible to be in a situation in which the energy of the photons will increase but for the current to decrease.,"cell organelles (even though membrane-bound) do not repel each other when close to the cell membrane. First of all, the different charge is on the cytoplasmic side of the cell membrane than on the outer side. Inside of cell is a certain charge which is okay for cell organelles. While on the outside is a different charge. This is what helps exocytosis. there are carbohydrates which are positively charged on the surface and modify charge. The reason why endocytosis and exocytosis is possible - is exactly the chemical charge and chemical constituents of the membrane (surrounding vesicles).",Are the charged parts of the phospholipids of the vesicle repelled by the (same) charged parts of the membrane (same charge repel eachother)?,Cell membrane
"'Atomic weight' is an older term and should not be used. 'Atomic mass' is the correct term if you are talking about amu/atom. 'Molecular mass' is the correct term if you are talking about amu/molecule. If you are talking about grams of the element or molecules, the term is 'molar mass' (has units of g/mol). The sodium and chlorine in salt are present as ions. When they are separated, they are separated as Na+ and Cl-. They are not particularly reactive in these forms. What makes sodium metal so reactive with water is that it can get rid of its extra electron.",Atomic mass,what is the difference if atomic weight and atomic mass are not the same thing?,"'Atomic weight' is an older term and should not be used. 'Atomic mass' is the correct term if you are talking about amu/atom. 'Molecular mass' is the correct term if you are talking about amu/molecule. If you are talking about grams of the element or molecules, the term is 'molar mass' (has units of g/mol).","The sodium and chlorine in salt are present as ions. When they are separated, they are separated as Na+ and Cl-. They are not particularly reactive in these forms. What makes sodium metal so reactive with water is that it can get rid of its extra electron.",Why doesn't the sodium react with the water?,Sodium
"In an acidic medium, H+ will be present (as H3O+, hydronium, in water; the H+ joins H2O to create H3O+, an equivalent form) in solution; this is the definition of an acid. The acid will release H+, leaving behind its conjugate base (the anion of the acid); how much H+ released depends on the acid's dissociation constant- strong acids will effectively dissociate completely and not be present as combined ions afterwards, but weak acids will mostly remain non-dissociated, and little H+ will be produced. For bases, the Arrhenius and Bronsted-Lowry definitions are different; Arrhenius bases release OH-, while Bronsted-Lowry bases remove H+ from water (or another solvent, as the Bronsted-Lowry model works in non-aqueous solutions) to leave OH-, along with the base's conjugate acid (the base with an added H+ ion). Most common Arrhenius bases are strong bases which dissociate completely; many Bronsted-Lowry bases are weak bases, in which much of the base remains whole in solution. The end result is that an acidic solution will have remaining H+ (or H3O+) in solution (concentration determines pH), and a basic solution will have remaining OH- in solution (concentration determines pOH) Electrons and quarks interact through fields, and it is based on these interactions that determines the size of protons, neutrons, and atoms. What we define as touching at the macroscopic level is basically when the attractive van Der Waals forces are offset by the repulsive Pauli exclusion forces on the electrons, there is no physical touching like people normally think of it.",Base (chemistry),Why do you use oh- in a basic medium?,"In an acidic medium, H+ will be present (as H3O+, hydronium, in water; the H+ joins H2O to create H3O+, an equivalent form) in solution; this is the definition of an acid. The acid will release H+, leaving behind its conjugate base (the anion of the acid); how much H+ released depends on the acid's dissociation constant- strong acids will effectively dissociate completely and not be present as combined ions afterwards, but weak acids will mostly remain non-dissociated, and little H+ will be produced. For bases, the Arrhenius and Bronsted-Lowry definitions are different; Arrhenius bases release OH-, while Bronsted-Lowry bases remove H+ from water (or another solvent, as the Bronsted-Lowry model works in non-aqueous solutions) to leave OH-, along with the base's conjugate acid (the base with an added H+ ion). Most common Arrhenius bases are strong bases which dissociate completely; many Bronsted-Lowry bases are weak bases, in which much of the base remains whole in solution. The end result is that an acidic solution will have remaining H+ (or H3O+) in solution (concentration determines pH), and a basic solution will have remaining OH- in solution (concentration determines pOH)","Electrons and quarks interact through fields, and it is based on these interactions that determines the size of protons, neutrons, and atoms. What we define as touching at the macroscopic level is basically when the attractive van Der Waals forces are offset by the repulsive Pauli exclusion forces on the electrons, there is no physical touching like people normally think of it.",How do we have such high weight to the point that normal weight is triple digits?,NA
"The activation energy just describes how much energy the reactants must have to get the reaction started. That energy is needed to help break and form bonds, but in the end it is still present. You could think of this as being similar to an amusement park where you might have to be at least 1.2 m high to get on a ride - your height isn't affected by the ride! for an 'endergonic' reaction some of the starting kinetic energy may have been converted into chemical potential energy. The net inflow of water when the cell is placed in a hypotonic solution does not require energy. However, net inflow is not because there is room to move around. Individual water molecules move around randomly. They enter the cell because that was the direction they were traveling in. The number of water molecules is so high, that their individual random paths average out. This is why diffusion tends to keep the quantities of water on both sides equal. When there is more water on one side, there is a greater chance that more of it will leave the area of high concentration then enter it, balancing it out. However, in a hypotonic solution, there is more solute inside the cell than outside. The probability for each individual water molecule to leave the cell is greatly decreased. Therefore, there needs to be much more water inside the cell than outside, for the amount of water leaving the cell to be equal to the amount of water entering it. Until that point is reached however, the amount o f water inside the cell will increase until the cell lyses or the amount of water entering and exiting the cell equalizes.",Activation energy,Are activation energy counted as free energy that released or absorbed?,"The activation energy just describes how much energy the reactants must have to get the reaction started. That energy is needed to help break and form bonds, but in the end it is still present. You could think of this as being similar to an amusement park where you might have to be at least 1.2 m high to get on a ride - your height isn't affected by the ride! for an 'endergonic' reaction some of the starting kinetic energy may have been converted into chemical potential energy.","The net inflow of water when the cell is placed in a hypotonic solution does not require energy. However, net inflow is not because there is room to move around. Individual water molecules move around randomly. They enter the cell because that was the direction they were traveling in. The number of water molecules is so high, that their individual random paths average out. This is why diffusion tends to keep the quantities of water on both sides equal. When there is more water on one side, there is a greater chance that more of it will leave the area of high concentration then enter it, balancing it out. However, in a hypotonic solution, there is more solute inside the cell than outside. The probability for each individual water molecule to leave the cell is greatly decreased. Therefore, there needs to be much more water inside the cell than outside, for the amount of water leaving the cell to be equal to the amount of water entering it. Until that point is reached however, the amount o f water inside the cell will increase until the cell lyses or the amount of water entering and exiting the cell equalizes.","Why doesn't the pressure of the cell (even a red blood cell that isn't rigid), balance out the net inflow?",Cell (biology)
"If the 2s orbital bonds with a hydrogen the bond will be shorter than the bonds formed by 3 2p orbitals with hydrogen. If this was the case, ammonia would have 3 long bonds and a short bond. However, when the shape of ammonia was discovered, it was clear that all N-H bond lengths were equal, hence the idea of 2s and 2p orbitals forming individual bonds with the hydrogen was discarded and hybridization was able to explain the shape of ammonia. He diaphragm is a muscle that is a part of the lung it doesn't effect any other organ",Ammonia,Why Nitrogen needs sp3 Hybridization to form ammonia?,"If the 2s orbital bonds with a hydrogen the bond will be shorter than the bonds formed by 3 2p orbitals with hydrogen. If this was the case, ammonia would have 3 long bonds and a short bond. However, when the shape of ammonia was discovered, it was clear that all N-H bond lengths were equal, hence the idea of 2s and 2p orbitals forming individual bonds with the hydrogen was discarded and hybridization was able to explain the shape of ammonia.",He diaphragm is a muscle that is a part of the lung it doesn't effect any other organ,Does it compress our stomach or liver?,NA
"protons have a positive charge, So if you where to add or take away a proton that would be adding or taking away a positive charge. The modern way we look at what an element is by the number of protons it has. Historically we defined an element by its physical and chemical properties. The number of protons dictates the electric charge of the atomic nucleus which in turn dictated the number of electrons for a neutral atom and the physical and chemical properties of the atom depends on the electron configuration. Conductance is the inverse of resistance. The main reason we talk about conductance is the equation for parallel conductance. That equation (sum of conductances) looks just like the formula for computing series resistance (sum of resistances). That is a nice observation to make and understand. In electrical engineering this kind of relationship between two equations is called a ""Dual"".",NA,Does the element actually change?,"protons have a positive charge, So if you where to add or take away a proton that would be adding or taking away a positive charge. The modern way we look at what an element is by the number of protons it has. Historically we defined an element by its physical and chemical properties. The number of protons dictates the electric charge of the atomic nucleus which in turn dictated the number of electrons for a neutral atom and the physical and chemical properties of the atom depends on the electron configuration.","Conductance is the inverse of resistance. The main reason we talk about conductance is the equation for parallel conductance. That equation (sum of conductances) looks just like the formula for computing series resistance (sum of resistances). That is a nice observation to make and understand. In electrical engineering this kind of relationship between two equations is called a ""Dual"".",Can you calculate resistance and just inverse it?,NA
"lacking the Y chromosome and SRY gene definitely leads to the formation of the bio-sex female. However, WTN$ is essential for female reproductive system, urinary tract development, etc. Now, what would happen? First, in the absence of SRY which produces TDF, testes will definitely _not_ develop an embryo is determined to become female. Since WTN4 mutated, some kind of congenital syndrome will occur. That human is supposed to be female but with congenital disease: from the undeveloped uterus, hyperandrogenism, anomalies of kidney, etc. Usually, it becomes a severe case of malformations Total energy decreases, but energy density tends to increase. The difference is because organisms in lower trophic are typically much more numerous.",Gene,What would the results be for an XX person to have missing WNT4 and SRY genes?,"lacking the Y chromosome and SRY gene definitely leads to the formation of the bio-sex female. However, WTN$ is essential for female reproductive system, urinary tract development, etc. Now, what would happen? First, in the absence of SRY which produces TDF, testes will definitely _not_ develop an embryo is determined to become female. Since WTN4 mutated, some kind of congenital syndrome will occur. That human is supposed to be female but with congenital disease: from the undeveloped uterus, hyperandrogenism, anomalies of kidney, etc. Usually, it becomes a severe case of malformations","Total energy decreases, but energy density tends to increase. The difference is because organisms in lower trophic are typically much more numerous.",Why is it that animal-based foods are more energy dense than the plants we eat?,Energy density
"The retinoblastoma protein prevents the cell from replicating if the DNA is damaged. so stops after the G1 phase (can not go from G1 to S). the cell tries to fix the DNA in order to continue but if the damage is irreparable, apoptosis will be triggered by caspases. Sulfur doesn't have to follow the octet rule, lots of elements in the third period and below don't have to follow it.",NA,Does the cell stop to divide?,"The retinoblastoma protein prevents the cell from replicating if the DNA is damaged. so stops after the G1 phase (can not go from G1 to S). the cell tries to fix the DNA in order to continue but if the damage is irreparable, apoptosis will be triggered by caspases.","Sulfur doesn't have to follow the octet rule, lots of elements in the third period and below don't have to follow it.",Why would this happen?,NA
"When H-X was add to a double bond, the major product formed is where the carbon with more H on it gets the H and the carbon with more C gets the X, it's called Markovnikov's rule The value will be either positive or negative. We could calculate the change in energy and the use the specific heat equations to see if the phase would change. If the reaction is exothermic (heat released), the entropy of the system is positive.",NA,Why is the Br being added to the right side and not the left?,"When H-X was add to a double bond, the major product formed is where the carbon with more H on it gets the H and the carbon with more C gets the X, it's called Markovnikov's rule","The value will be either positive or negative. We could calculate the change in energy and the use the specific heat equations to see if the phase would change. If the reaction is exothermic (heat released), the entropy of the system is positive.",How do people see the sign of entropy?,Entropy
