text,topic,question
"The function of tertiary and quaternary structure varies depending on type of protein, but in enzymes, the specific shape and configuration of the protein allows the formation of active sites.",Protein quaternary structure,What does a tertiary and quaternary structure do?
The outermost electrons of each atom finds sufficient energy to leave its parent atom and joins other such electrons to move around in a sea of electrons. This is  the electric current and what makes metals such good conductors.,Electron,"Shouldn't the energy required to free an electron,be different for different shells?"
"animals have different gut bacteria than us. they have other opportunistic bacteria and the first line of defense. Also, some zoonosis is exclusive to humans not shared with animals.",Bacteria,Wouldn't bacteria in the water cause illness towards animals?
"Alkynes generated from vicinal dihalides will be formed between the two halogens. Alkynes formed from germinal dihalides could be formed on either side of the geminal dihalides (unless you had no protons on one side of the geminal dihalides). This means that you would get a mix of products (which is bad) when forming an alkyne from a geminal dihalide. One other exception is if you have a symmetrical molecule, in which case it doesn't matter which side you deprotonate because you'll still form the same alkyne in the end due to symmetry.",Alkyne,Is there any difference in the alkyne generation from vicinal and geminal dihalide?
"mRNAs typically have a fairly short lifetime, but mRNAs can be (and usually are) translated multiple times. Sometimes an mRNA is even translated by multiple ribosomes simultaneously! (The structure formed when this happens is called a polysome.) One of many types of regulation that happens within cells is at the level of mRNA stability.",Messenger RNA,Can the mRNA be translated again?
"It depends on what time of evolution and ontogenesis (individual evolution) we are talking about. Usually, based on the ecosystem and environment, natural selection happens. What is recessive or dominant is coded in our genes, so predominantly plant being tall is 'dominant' and plant being a dwarf is 'recessive'. Also, dominant trait really helps for the plant to survive. But, if there are changes in environment or you somehow experimentally change environments or transplant plant to another climate - it may either die or adapt so new population of dwarf plants successfully thrive. If that happens, now dwarf becomes dominant. Not to mention that species breed with other species and that's how new species are created and how genetic drift happens.",Dominance (genetics),Is dwarf always recessive gene and cant it be dominant in the presence of tall gene?
"There is an s orbital in *every* shell. There are 1s, 2s, 3s, 4s, 5s, etc. orbitals. (2) The s, p, d, and f orbitals are different from each other because they correspond to different types of vibration of the electron wave. (3) Each type of orbital belongs in its own energy subshell. An s subshell contains one s orbital, a p subshell contains three p orbitals, a d subshell 5 d orbitals, and an f subshell 7 f orbitals. (4) *No* orbital can contain more than two electrons. But a p subshell contains three p orbitals, so a p subshell can hold six electrons",Atomic orbital,Why isn't the orbitals consistent?
"Bear in mind that the aforementioned molecules are in a hectic state, frequently colliding and interacting. The possibilities you theorized in your questions do indeed occur; this is precisely why organic reactions almost never have 100% yields of the desired products. Mechanisms presented in lectures are not telling you exactly how each type of molecule in a solution interacts with the others, but rather highlights a certain pathway that produces the product of interest. Furthermore, these mechanisms are often simplified, and side reactions can also eventually give rise to the major products via more complicated pathways. Extending this concept to this particular reaction, remember that the steps are in equilibrium, meaning that although other products (such as the ones you mentioned) do form, they are less stable and easily revert back to their previous forms; given enough time, the reaction will favor the most stable product(s). The Fischer esterification is actually a good example of this: the reaction takes anywhere from 1-10 hours to go to completion!",Molecule,Why isn't the proton donating molecule just dehydrated instead?
"If the electrons in the C=O pi bond (from the oxygen lone pair) were pushed into the ring, that would leave oxygen with a +2 charge and an incomplete octet. ",Pi bond,Why can't the lone pairs for Oxygen form pi electrons inside the Benzene ring?
The cells undergo controlled cell cycles and cell death - apopotosis.Uncontrollable dividing is not evolutionary accepted trait for humans. ,Cell (biology),Why is it inactive in most cells?
"Chlorophyll f can absorb infrared light. This chlorophyll is present in cyanobacteria and possibly other photosynthetic organisms in shady habitats. Any light that has greater wavelength than visible spectrum cannot affect the photosynthetic process. The plant can receive or not the 1500nm wavelength of light, but it will not absorb it or register it anyway. NO receptors = no sensation. Pigments only respond to visible light spectrum.",Wavelength,Does that wavelength also imply the plants are receiving wavelengths up to 1500 nm?
"It doesn't always create an exact replica of its self, when the parent cell passes on DNA to the daughter cell, the DNA might mess up in the replication process and tiny changes in the genetic code can cause big changes in the body.",Cell (biology),How does a cell get a mutation when the parent cell didn't have one?
Different DNA molecules (and even regions within DNA molecules) can have different ratios of GC to AT base pairs. This is known as the GC content (and reportedly varies from 75% to 13.5%). GC content affects the physical properties of DNA - the most important being the ''melting temperature' (Tm) - the temperature around which two strands of DNA will separate. The GC content of an organisms genome does affect how abundant different codons can be and this will influence the abundance of the various amino acids within the proteins in that organism.,DNA,Does the amount of each in the pairing change something about the information of the DNA sequence?
"Propanal molecules can form H bonds to protic solvents, but not to other propanal molecules. Propanal and acetone have the same molecular mass and about the same intermolecular forces, so they should have about the same boiling point. The boiling point of acetone is 56  degree Celsius, and the boiling point of propanal is 49  degree Celsius. They are close enough",Acetone,Wouldn't it be harder to 'evaporate' than acetone?
"The boiling point of ammonia is -33 degree Celsius. If the flask is immersed in a mixture of dry ice and acetone (-78 degree Celsius), the ammonia will condense to a liquid. High pressure is not needed. There must not be any water present.",Ammonia,Will this reaction occur with ammonia as a gas?
"When you sprain your ankle your ligaments (bone to bone connections) get stretched and may get partially torn. This causes the body to respond with inflammation and this response is the normal and a necessary response to tissue damage. Next question may be ""What is and how does inflammatory response work?. In short the damaged and dead cells need repair. This causes your blood vessels to dilate accounting for the redness you see around the insulted tissue. The swelling is also the result of capillary dilation. As capillaries dilate the gaps between get larger allowing fluid to leak out in the surrounding area.",Ligament,How is a ligament tear different from a sprain and why does it require surgery?
"Oxidation originally referred to reactions with oxygen. So compounds like FeO and Fe2O3 were called ferrous and ferric oxides, while SnO and SnO2 were called stannous and stannic oxides. In 1919 Alfred Stock suggested that the names should use Roman numerals in parentheses, to make the names iron(II), iron(III), tin(II), and tin(IV) oxides. In 1940 the IUPAC recommended that the term 'Stock number' (I, II, III, IV, etc.) be replaced by the term 'oxidation number' with Arabic numerals (1, 2, 3, 4, etc.). In 1990 it adopted the current 'rule-based' system (H = +1, O = -2, etc.) for determining oxidation numbers. ",Oxidation state,Why is it called 'oxidation state?
"not all supernova remnants are hydrogen poor. The Crab nebula, for instance, has significant hydrogen left over. Not all hydrogen is necessarily consumed by a star before its life ends. Only the hydrogen in the core of the sun is consumed. There is still a significant amount of hydrogen outside the core that is never burned, and when/if that star goes supernova, it's available to coalesce into a new star. type 2 supernovae (the more common type) have lots of hydrogen. Only a small percentage of the star supports fusion and during the explosion, vast amounts of hydrogen near the surface are blown off into space. Although, these nebula clouds are mostly remnants after the creation of hydrogen big bang.",Hydrogen,Where does the hydrogen essential for the formation of the Sun came from?
"In classical mechanics, the position and momentum variables of a particle CAN vary continuously, the number of possible microstates is actually infinite.",Infinity,Aren't there an infinite number of states in a volume?
"The DNA fragments move through the agarose gel so they are experiencing viscous drag as they move through the gel. This viscous drag is proportional to the mass of the DNA fragment. The mass of the DNA fragment depends on the length of the DNA fragment. The longer the DNA fragment, the more atoms it contains so the more electrons it contains. The more electrons in the DNA fragment, the stronger the intermolecular london forces of attraction between the DNA fragment and the gel molecules so the greater the viscous drag experienced by the DNA fragment. They travel at the same acceleration but it's the viscous drag through the gel that causes heavier DNA fragments to move slower than the lighter DNA fragments.",DNA,Shouldn't all the DNA fragments move with the same speed?
"Archea and Bacteria branched before the Eukarya appeared. Only after Archea and Bacteria branched did the Eukarya branch off from Archea. Evolutionists think this because Archea and Eukarya are similar, Archea and Bacteria are similar, but Eukarya and Bacteria aren't very similar. And using DNA hybridization and things Evolutionists hypothesized this, though there really is no proof.",Eukaryote,"If before, from which of these domains did Eukarya branch?"
"*Oncogene* are mutated genes that switch from G1 to S phase, (even when there is no need for cell division). So, they are accelerators of the process. You know that is a checkpoint of a cell. However, there are also *tumor suppressor* genes and they act a brake. So, whilst the tumor suppressor is sitting there in the cell, it's stopping the cell from going around the cell cycle. If we, again, trigger the cell cycle or attempt to by instructing the cell with a signal initiating the relay, one of the jobs of that relay is to remove that block, that brake. As long as a tumor suppressor is _working_, cancer will not arise. If you remove tumor suppressor (mutation) the cell is free to move from G1 to S phase. If they are both in mutant form, cancer arises.",Cancer,Can cancer happen in this case?
"The 4s and 3d subshells have nearly the same energy level. How much of a difference, and which subshell is lower in energy, varies by element. In scandium and the other d block members of period 4, the 3d is lower in energy than the 4s. However, because the 3d orbitals are smaller and more closely packed than the 4s, the electron-electron repulsion that occurs in the 3d subshell is enough to make it possible for 1 or 2 electrons to have a lower energy by occupying the 4s. So, we have 3d and 4s co-filling rather than filling independently. So, with scandium, the first electron after completing the previous noble gas configuration goes into 3d. The difference in energy levels between 4s and 3d is small enough for the next two electrons to enter the 4s, because the electron-electron repulsion they feel if they enter 3d is enough to knock them into the 4s. The same process happens throughout the d-block. Sometimes the difference in energy levels between the s and d allows one electron to enter the s, sometimes it the difference allows 2 electrons to enter the s. And in palladium alone, the difference between d and s is so great that none of the electron are in the s. For the first few members to of Groups 1 and 2 there is no d to be filled. But with 4s-3d, 5s-4d, etc. there is the d to take into consideration. The explanation is simple: in Groups 1 and 2, but not in the d block, the s is lower in energy than the d. In the d block it is the other way around. Because the difference in energy levels between 4s-3d, 5s-4d, etc. varies by element, we have to look at each element on a case-by-case basis to see how these will fill. Similar irregularities appear in the f block, only now there are s, d and f subshells all with similar energy levels.",Electron,"Is it because the repulsion of the electrons filling the 3rd shell makes it 'harder' for the electrons to occupy that state rather than the 4s state, despite the last is of higher energy state?"
"Chlorophyll f can absorb infrared light. This chlorophyll is present in cyanobacteria and possibly other photosynthetic organisms in shady habitats. Any light that has greater wavelength than visible spectrum cannot affect the photosynthetic process. The plant can receive or not the 1500nm wavelength of light, but it will not absorb it or register it anyway. NO receptors = no sensation. Pigments only respond to visible light spectrum.",Visible spectrum,Would the rate of PS decrease because of the plants is above the spectrum pigment molecules absorb?
"Carbon has 4 valence electrons, and its electron configuration is 1s^2 2s^2 2p^2. Now, in order for carbon to bond appropriately 4 times you could promote an electron from the 2s orbital to the 2p orbital (thus giving you 2s^1 and 2p^3). However, these orbitals still exist at different energy levels, and thus we use hybridization. In the case of C2H4, each carbon is bonded to 3 different molecules, and thus, we only need to have 3 hybrid orbitals; we use the 2s orbital and 2 of the 2p orbitals and the sp2 hybrid orbital is created. Under this configuration, 3 of the valence electrons are in the sp2 orbitals (the ones that bond with other atoms) while the last valence electron is in the p2 shell that was not hybridized",Atomic orbital,Why did it start out with one electron in the S2 orbital and and extra electron in the P orbital?
"With what you stated I don't see a solution to the question. You have 3 possible conditions: F1 = F2, F1 > F2, F1 < F2 F1 = F2: Box wouldn't move and no work would be done. F1 > F2: Box moves right and the work by F1 is positive and the work by F2 is negative. F1 < F2: Box moves left and the work by F1 is negative and the work by F2 is positive. Since both amounts of work you have given are positive I don't see a way to solve this. If the amounts of work are only the magnitude of the work then we can work with that. The F1 magnitude of work is greater than the the F2 magnitude of work so we can assume that F1 is greater than F2. Also since F2 is opposing the movement by F1 so the F2 work is opposing the work F1 is doing so the total work is 150 - 50 = 100 J. Now we know the total work we can assume that this all becomes kinetic energy we can use the Ek = (m * v^2)/2 so we have: 100 = (2 * v^2)/2 200 = 2 * v^2 100 = v^2 10 = v So you have a velocity of 10 m/s to the right",Velocity,What is the velocity of the box after the work has been done on it?
"Once an electron has been excited to a higher energy level, it can drop back to any lower energy level, not just the one from which it came. That is why people can see many different colors.",Electron,Does that mean people see the color which are absorbed by electrons?
"If there is a group that changes the suffix (eg how -OH changes the suffix from -ane to -anol) then that will automatically be on carbon 1 so you need to number around that. If there isn't one of those groups, and there are only two groups on the ring then the alphabetically first group will be on carbon 1. If there are three or more groups then you have to number the ring in such a way that uses the lowest numbers. Only if there is a tie between two numberings would you go for the alphabetically first group.",Carbon,Which branches are nearer to carbon?
"While a polygenic phenotype can occur without epistasis, if you have epistasis you must be dealing with a polygenic phenotype. Polygenic just means that there are multiple genes involved in a phenotype. Epistasis refers to situations where one allele masks the phenotypic effect of one or more alleles of another gene.",Epistasis,What is the difference between polygenic and epistasis?
"The formula gmh applies for small distances. For ridiculously large distances, the further away an object gets, the smaller the gravitational potential energy it has. The further away the object gets, the less influence it will feel gravitationally.",Gravitational energy,Why does the gravitational potential energy increases as r increases?
Neither mitosis nor meiosis are cycles. They are both processes involved in two different types of cell division and both are parts of cycles. Mitotic divisions can happen repeatedly as part of the mitotic cell cycle. Meiotic divisions happen as part of a more complex cycle that includes fertilization (fusion of two gametes) to form a zygote. That zygote has the potential to become a new organism that will then have some cells that undergo meiosis to produce new gametes. Multicellular organisms contain many cells and the germ line cells$ in animals undergo both mitosis and meiosis. The mitotic divisions maintain the population of germ cells and the excess cells undergo meiosis to produce gametes. Does that help? $Note: The cells that can undergo meiosis.,Meiosis,How can there be enough cells for meiosis?
"When the temperature of a gas is increased, the molecules have higher kinetic energies. When the molecules move around faster they can configure themselves in more ways than they could have if they had less kinetic energy. More specifically, molecules in an ideal gas follow Maxwell-Boltzmann statistics which imply that the molecules' velocity distribution broadens as the temperature of the system is increased.",Temperature,How come an increase in temperature increases this combination of states?
"All the transistors we use to build modern electronics act like a current source for part of their operating range. Transistors have three terminals. Two of them are the main current path, like the two terminals of a resistor, and the third one controls how much current gets to flow. For a MOSFET, the terminals are called Drain, Source, and Gate. This is the i-v characteristic of a MOSFET transistor. The gate voltage is labeled on each blue line over on the far right. In this region, the current through the MOSFET has the same constant value no matter what the voltage is between Drain and Source. That horizontal behavior is exactly what a current source does.",Current source,Which element can be called current source in real world?
"The compound may be be optically inactive if the mirror image can be superimposed on the original molecule. If the image is non-superimposable, then the compound will become optically active and the pair of mirror images will be called enantiomers. For further details look up chiral centers and racemic mixtures.",Optical rotation,Is molecule optically inactive?
"We can't 'see' the electrons with our instruments, but we can see the atoms and measure their bond lengths and bond angles. That's why we ignore the lone pair electrons in determining *molecular geometry*. We must, however, consider the lone pairs in determining the *electron geometry* about an atom.",Electron,Why aren't electrons on the terminal atoms considered?
"The immune cells in the blood can escape from the blood vessel that they are in, and travel through tissue. Once in the tissue, the immune cells can attack the cartilage.",Cartilage,How do the immune cells attack the cartilage?
"The enzyme lactate dehydrogenase can catalyze the reduction of pyruvate as well as oxidation of lactate. The equilibrium shift toward the forward or reverse reaction depends on the substrate concentration. There a lot of lactate, it will be oxidized and converted into pyruvate,  more ATP will be synthesized during the strenuous exercise. ",Lactic acid,What mechanism does taking a Lactate supplement enhance physical performance?
"arbon-1, the anomeric carbon, is special because it's the hemiacetal carbon. It's this carbon that is involved in the opening and closure of the cyclic structure. This is illustrated here - https://biochemjm.files.wordpress.com/2013/02/slide14.jpg. The alpha anomer can convert into the beta anomer via the open chain form. All three of the structures shown in this diagram are forms of glucose. Carbon-4 isn't special (it's not attached to two oxygens which is a requirement for an anomeric carbon). Consequently, the hydroxyl group on carbon-4 has no way of going from equatorial to axial because the ring cannot open at this point.",Carbon,Why these carbon have two different properties?
"There are four so called fundamental forces in the universe. Two nuclear forces that are only relevant in the nucleuses of atoms, the electromagnetic force, and gravity. We can measure these forces, and we have made really good theories that describe the effect they have on the world, but we don't know why they are the way they are. We can only observe the fact that they exist, not explain why they exist. This is why they are called fundamental. A lot of physicists today are working on proving that the four fundamental forces are not actually fundamental, but just different aspects of one truly fundamental force. If this can be done, you could say that gravity is caused by this super-fundamental thing, but you would only have moved the problem back one step, since you still couldn't explain why this thing produced gravity and the other forces. You could just observe that it did. Ultimately it becomes a philosophical question. Why are things the way they are? I don't really know much about how people have answered this question, but I suspect that it might be a meaningless question to ask.",Gravity,What actually causes gravity?
There are often multiple ribosomes at the same tRNA at the same time! But after a while it will be disassembled by restriction enzymes and out of the nucleotides a new tRNA will be made. There will probably come the next ribosome.,Transfer RNA,Where does the tRNA go?
"metabolism is more like the whole system which is made of skeleton - anabolic and catabolic reactions. There are many ""circuits"", dots are connected (intermediates connected by enzymes which make anabolism and catabolism happen). It is so dynamic, as cell itself is dynamic",Metabolism,Does metabolism happen all time?
Co-enzymes are a co factor of a vitamin. They help facilitate functions of the cell. Co-enzymes are in a lot of different vitamins.,Cofactor (biochemistry),Are co-enzymes a different form of vitamin?
"the only way a solution can act as a buffer if it has some way of soaking up both added acid (H+) and added base (OH-). That is why a buffer needs to have significant amounts of both a weak acid AND its conjugate base. The weak acid can react with any added base to neutralize the base, and the conjugate base (which is a weak base) can react with any added acid to neutralize the acid. These reactions are how a buffer keeps the pH from changing too much when acids or bases are added. The reason why a weak acid alone is usually not a very good buffer is that by definition, weak acids don't dissociate very much in solution. So that means a weak acid solution (let's call it HA) contains mostly undissociated weak acid HA, and not much of the conjugate base, A-. So it won't be very good at soaking up added acid, and it won't make a good buffer. We can fix that by increasing the amount of A- in the solution, either by adding an external source of A- (usually by adding some salt that contains A-, perhaps NaA), or by adding some strong base like NaOH. The strong base reacts with HA to make water and A-, the conjugate base! So that's another way to increase the A- concentration, by neutralizing some of the weak acid HA (but not all of the HA, since we still need both HA and A- around to make a good buffer).",Conjugate (acid-base theory),Where does the extra salt (conjugate base) come in?
"A tRNA contains hairpins though the hairpins play different roles in the two cases. In transcription termination, the hairpin causes the RNA polymerase to stall and the transcript to separate from the DNA. In a tRNA, multiple hairpins form and give the tRNA molecule the 3D shape it needs to perform its job of delivering amino acids.",Transfer RNA,Is tRNA formed from these hairpin structures?
"Technically, the mucus has two routes--it can either slide down the throat, or it can be ejected (when we sneeze or blow our nose) out the airway. If it is ejected, then that takes care of that as far as the body is concerned. If it slides down to the stomach, then our stomach acids can (hopefully) kill the germs contained within. As to your question, ""Why hasn't the body evolved [differently]..."", that's a bit more philosophical. From an evolutionary standpoint, there probably isn't enough of a reproductive disadvantage to warrant such an adaptation. We have cough and vomiting reflexes as ways to keep germs/poisons out of our bodies after all--perhaps avoiding the ""solid"" stuff isn't necessary?",Stomach,Why hasn't the body evolved so that 'solid' stuff doesn't travel from the nose to the stomach?
The charge on the ion is the sum of all the + and - charges on all the atoms in the ion. Usually only one atom has the charge and the other atoms have no charge.,Atom,Does all the atoms in the ion need to be negative or positive for the entire to be that charge?
"The blood constantly carries oxygen away on red blood cells and brings blood with little oxygen back, so from the point of view of the lungs, the blood never has enough oxygen and most of the oxygen diffuses in",Oxygen,"Does all the oxygen diffuse in or does half diffuse in, so that the concentration gradient is balanced?"
"Both electrons are associated with both atoms, before both electrons being associated with only the oxygen atom. When the electrons are shared between the carbon and oxygen atoms so are their charges. Half the time each electron would be smeared around the carbon atom and the other half the time it would be smeared around the oxygen atom. Before each electron would be spending their whole time smeared around the oxygen.",Electron,Would both electrons donated surely be associated with both ions?
"Electrons are not made up of anything smaller. They are just electrons. Protons and neutrons are made up of smaller particles called quarks. Protons and neutrons are made up of different mixtures of quarks, so they have different properties. Yes, all protons, electrons and neutrons are the same. Except for mass (how much something 'weighs'), most of the physical and chemical properties of atoms are caused by the very complicated ways in which their electromagnetic fields interact at a microscopic level. Thus, when you mix different kinds of atoms together, you get complicated changes in their electromagnetic fields. Sometimes these are major changes, sometimes these are minor changes. When oxygen and hydrogen mix together to make water, they release a tremendous amount of energy, and you wind up with two atoms of hydrogen being held (we call that 'bonded') to one atom of oxygen. You have the same atoms, but the amount of energy they have now is much, much less and their electrical fields have radically changed. Thus, water is not much like hydrogen or oxygen, but has its own properties. A better analogy than mixing paint is mixing wheat, water, and oil (and a few minor ingredients). Think of all the things you can make with just these three things depending on how much of each you use and how you put them together. You can get dough, biscuits, noodles, pudding, breakfast cereal, glue, gravy, sauces, a variety of wheat beers, farina, etc. It all depends on how much of the components you use and just how you go about putting them together. Much the same thing happens at the microscopic level -- what you get depends on how much you have of a few basic 'ingredients' and how you go about putting them together.",Proton,"How is it that these 3 parts (electron, proton, and neutron) can combine into different things just based on how many of these 'parts' there are?"
A resistor has a well-behaved action (Ohm's Law) and a clear and constant value of R. A spark is a rather violent and ever-changing current path. People can think of a spark as a wire made of torn-apart air molecules.,Resistor,Can people consider the air gap between the switch ends as a resistor that drops 3000V to 0?
"To make it easier to follow electron movement, we usually draw all the free electron pairs and electrons on atoms. In the case of a homolytic bond breakage, the atom is left with a single electron. Thats why we show a dot on each atom. A radical is usually very reactive and likes to bond quickly. So most of the time a radical won't stay radical for a long time.",Electron,Wouldn't be they unstable and would be in a need of gaining electrons?
"Chloride anions are stabilized in water because of the interaction between polar H's of the water molecules. However, in the reaction in the video, SOCl2 is used, which is highly reactive with water, forming HCl and SO2. Consequently, water is not the solvent being used in a reaction like this. So without water stabilising the Cl- anions, they readily act as bases and nucleophiles.",Nucleophile,How chloride would function as a good base or nucleophile?
"Snow forms when water vapor in the air turns directly into ice because it's so cold. The ice crystals grow from additional water vapor until they fall down as snow. Hail, on the other hand, is created when existing liquid rain is carried into colder areas by updrafts and freezes into a ball of ice. Because the water in many clouds is supercooled (brought past the freezing point but still in liquid form), it is easily frozen and the hail gradually grows. This continues until the hailstone becomes too heavy to stay in the clouds and falls. ",Hail,What is the difference in the formation of snow and hailstones?
"During the flat bit of the phase transition diagram, where temperature doesn't change despite the addition of more heat, the ice is melting and there is a mixture of ice and liquid water. Only when the last bit of ice has melted, and all the water is liquid, does the temperature start to rise.",Water,Does one classify the H2O molecules as solid or liquid?
"Using the D line of sodium, 589 nm, is the most common wavelength used and the only wavelength used in data tables tabulating the specific rotation's of enantiomers. But yes if you were to use a different wavelength of light then the specific rotation would be different than the specific rotations found using 589 nm. Hope that helps.",Wavelength,Will wavelength  change affect the observed rotation of the chiral molecule?
"Particles in air will be able to travel at speeds greater than the speed of sound (300m/s) but I don't think this will cause a sonic boom because think about what sound is: sound is caused by the movement (compression and rarefractions) of molecules in the air. Sonic booms do not exist in space because there is no air and sound can therefore not travel. For the tiniest molecule in air, there is practically no such thing as air for sonic boom: the air molecule is floating in a vacuum with other air molecules but it does not have anything to ""cause"" a boom through any medium.",Sonic boom,Would air particles perform a tiny sonic boom?
"In gene therapy we typically don't transfer plasmids into human cells. The details depend on the specific type of gene therapy, but the techniques that have been used so far integrate new DNA sequences into one of the linear chromosome. ",Plasmid,How is a plasmid from a bacteria transferred to the human genome?
"The nucleolus is a region in the nucleus where the genes encoding rRNA (for ribosomes) are found. In fact, the structure of the nucleolus relies on transcription of these genes. The rRNA genes are found on several chromosomes. During mitosis, the chromosomes each condense and separate, so clearly the nucleolus can't stay around the whole time during mitosis. I would guess that there is more control to its disassembly though than just the surrounding DNA being pulled away during condensation.",Nucleolus,Why does nucleolus disappear and then reappear again?
"Nitrogen has five electrons that are available to form bonds. three of these electrons have formed covalent bonds with hydrogen and carbon, leaving two unbonded electrons that are in a single orbital - these two electrons are called a lone pair. The lone pair electrons can bond with a proton (H+), which is what is shown in the video. When this happens, unlike a usual covalent bond, both the electrons in the bond come from the nitrogen lone pair (a proton, has no electrons that it can share). This leaves the nitrogen atom with a positive charge. In effect, the positive charge that was on the proton is now transferred to the hydrogen atom.",Nitrogen,How could the N form another bond with a H?
"Deficiency in ATPase would not just cause diabetes and seizures but the ruckus in the whole body and many more connected diseases and defects. Seizures are caused because of energy insufficiency. Energetic insufficiency is not caused because of faulty ATPase but because of lack of disconnection between insulin levels in blood and available glucose molecules for uptake. Usually, there are faulty glucose receptors not recognizing and binding glucose or it could be insulin resistance (not producing insulin molecules at all). If a person administers insulin in its blood via injection and do _not_ eat food, may cause negative adverse effects - that is how diabetic seizures happen.",Seizure,How can this deficiency be corrected so ATP production is consistent enough (during fasts) to prevent energy related seizures from occurring?
"Natural selection is concerned with the viability of organisms as well as their fertility and reproductive rate. If an organism has lots of offspring that live long enough to successfully reproduce, that organisms traits will be selected FOR and pass into future generations. Conversely, if an organism is able to reproduce at an elevated rate, relative to other individuals of the same species, but its offspring don't survive to sexual maturity or are infertile, their traits will be selected AGAINST and will be lost from future generations. ",Natural selection,This is known as Natural Selection?
"Photons have no rest mass, but they do have energy, and from relativity energy and mass are equivalent, so the photon will interact with gravity for that reason. The other way of looking at it is what was mentioned before, that gravity curves spacetime and light follows the curved spacetime path.",Gravity,Why does gravity bend light?
"phase changes are as converting the incoming thermal energy (when you're heating something up) to potential/phase energy. In a certain phase, such a solid, the particles can only move so much because its IMF is holding them together. At a certain point, the incoming thermal energy can't make the particles move any faster/KE can't increase because of the phase it's in. Instead, the energy is converted to phase energy and allows the particles to break free of their IMF. When the energy is converted to phase energy, you're right in that there is a tiny drop in temperature but it's replaced almost immediately when you're continuously adding energy into a substance",Phase transition,How the temperature can stay constant during a phase change?
"Active transport is a process that uses energy from respiration. Diffusion and osmosis don't require the cell to expend any of its own energy, as they are passive processes. Diffusion is the spreading out of particles in a *gas or solution* resulting in the *net* movement of these particles from an area of *higher* concentration to an area of *lower* concentration Osmosis is the movement of *water* particles from a *dilute* solution to a *more* concentrated solution through a *selectively permeable membrane* As we know both are passive processes and yet (in basic, short terms) diffusion is higher to lower and osmosis is lower to higher, so movement to concentration doesn't determine whether it is active or passive.",Active transport,Shouldn't Osmosis technically be classified as a form of active transport?
"It remains H2O, but the distance between the molecules increases and makes the intermolecular attraction weaker. Only physical change (no chemical change) has been achieved through boiling: from liquid to vapor. The molecular structure does not change during physical change.",Water,What happens to water's molecular structure?
"A water molecule would be produced, but the monomers were dehydrated. This is why it is called dehydration. When we add water, it is called hydration, because we 'hydrate' the monomers and they break apart.",Molecule,Wouldn't a water molecule be produced?
"Metabolism definitely varies between people. Metabolism can be defined as the sum of all of the chemical reactions occurring inside of a living organism. Metabolism varies depending on the conditions present inside of the organism. The human body can speed up and slow down the rates of different chemical processes simultaneously in an attempt to maintain homeostasis. So weight can affect metabolism, but it certainly isn't the only factor that does so. A person's activity level, hormone levels, age, energy intake, and overall health can also impact metabolism.",Metabolism,Does metabolism vary widely between people?
"Meisosi II is a restorer. Why? Because the final product of meiosis * gametes * is_ Haploid cells. Remember, eggs and sperm are haploid, which makes sense. Why are they haploid? Otherwise, in each meiotic cycle, the number of chromosomes will double, resulting in polyploid and polyploid fertilized eggs (incompatible with life). To avoid all this, meiosis II is a reduction.",Meiosis,Is meosis 2 the only key point in regulating the amount of genetic material in haploid cells?
The ribosomal proteins are imported into the nucleus from the cytoplasm (through the nuclear pore complex). They then go to the nucleolus where they bind to rRNA to make ribosomal subunits. ,Nucleolus,How does the nucleolus make Ribosomal subunits?
"An amino acid has the general formula H2N-CH(R)-COOH, where R stands for the different acids. Notice that the central C atom is chiral - it has four different groups attached - so the molecule can exist as a pair of enantiomers (nonsuperimposable mirror images). One of these is the D isomer, and the other is L (i.e. a pair of R/S isomers). There are about 20 amino acids normally found in the human body. All of them are the L-isomers.",Amino acid,What is the basic difference between the L and D amino acids?
"Chocolate contains phenylalanine from two main sources: in the cocoa itself, and from the milk (protein component). someone has attempted to make chocolate with the phenylalanine removed for sufferers of PKU. People with PKU need to avoid phenylalanine during development, so it does not affect the growth of their brain etc. Some adults revert to diets with phenylalanine in them once they leave teenage years. However, many of these PKU sufferers find that if they eat phenylalanine as adults, it affects concentration, memory etc (and often attempt to return to a phenylalanine free diet). PKU sufferers eat phenylalanine or not is more of a choice, once they are adults. (Pregnant women are the exception, as high phenylalanine levels in the mother lead to microcephaly, growth retardation etc). So, adults with PKU can choose to eat chocolate, if sticking to a phenylalanine diet isn't important to them, without immediate serious consequences.",Phenylketonuria,People with phenylketonuria could never eat chocolate?
"a mutation is a mistake in the DNA, compared to what it should be. It is rare for it to happen, but there is also a lot of DNA in your cells. In a diploid human cell, there are over 6000 million basepairs of DNA. And when that is copied for cell division, mistakes can happen. this may be only one in a billion, but with billions of bases, you get some mistakes. As well as copying into the wrong base, maybe the polymerase doing the copying will slip and skip a base or so. Another way that mutations can happen if the DNA gets damaged and isn't repaired properly. This damage could be from x-rays, UV radiation, or mutagenic chemicals. They tend to cause different types of damage, which is repaired in different ways. Sometimes DNA is damaged in a way that both strands break, and the cell will try to glue them back together. However, this is not always perfect and mistakes can be introduced. There may be bases missing, especially if the nucleotides at the DNA ends were damaged so they couldn't be stuck straight onto each other.",Mutation,Is a mutation like a mistake in the DNA?
"The blood circulates, so that blood will go back, but it won't just stay going back up to the upper part of the body again. It will mix with all the blood from the rest of the body in the heart. ",Blood,How does the blood make its way to the kidneys to be filtered?
